"","...1","...2","Make","Model","Variant","Displacement","Cylinders","Valves_Per_Cylinder","Emission_Norm","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Kerb_Weight","Gears","Ground_Clearance","Front_Track","Rear_Track","Power","Torque","Seating_Capacity","Type","Wheelbase","Boot_Space","Minimum_Turning_Radius"
"466",466,465,30,"Pajero Sport","2.5 Mt",2477,4,4,"BS IV",70,"Diesel",1840,4695,1815,5,6.5,10.77,1935,2,215,1520,1515,"178PS@4000rpm","400Nm@2000rpm",7,"Manual",2800,389.766699410609,5.6
"467",467,466,30,"Pajero Sport","2.5 At",2477,4,2,"BS IV",70,"Diesel",1840,4695,1815,5,6.5,10.77,1935,2,215,1520,1515,"178PS@4000rpm","350Nm@1800-3500rpm",7,"Automatic",2800,389.766699410609,5.6
"468",468,467,30,"Pajero Sport","Limited Edition",2477,4,4,"BS IV",70,"Diesel",1840,4695,1815,5,6.5,10.77,2040,2,215,1520,1515,"178PS@4000rpm","400Nm@2000-2500rpm",7,"Manual",2800,389.766699410609,5.6
"469",469,468,30,"Pajero Sport","Select Plus Mt",2477,4,4,"BS IV",70,"Diesel",1840,4695,1815,5,6.5,10.77,1935,2,215,1520,1515,"178PS@4000rpm","400Nm@2000rpm",7,"Manual",2800,389.766699410609,5.6
"470",470,469,30,"Pajero Sport","Select Plus At",2477,4,2,"BS IV",70,"Diesel",1840,4695,1815,5,6.5,10.77,1935,2,215,1520,1515,"178PS@4000rpm","350Nm@1800-3500rpm",7,"Automatic",2800,389.766699410609,5.6
"471",471,470,12,"Endeavour","3.2L 4X4 At Titanium Plus",3198,5,4,"BS IV",80,"Diesel",1837,4903,1869,5,7.7,10.91,2394,3,225,1560,1564,"200PS@3000rpm","470Nm@1750-2500rpm",7,"Automatic",2850,430,6.2
"472",472,471,12,"Endeavour","2.2L 4X2 At Titanium Plus",2198,4,4,"BS IV",80,"Diesel",1837,4903,1869,5,9.3,12.62,2238,3,225,1560,1564,"160PS@3200rpm","385Nm@1600-2500rpm",7,"Automatic",2850,430,6.2
"473",473,472,12,"Endeavour","2.2L 4X2 Mt Titanium",2198,4,4,"BS IV",80,"Diesel",1837,4903,1869,5,9.3,12.62,2238,3,225,1560,1564,"160PS@3200rpm","385Nm@1600-2500rpm",7,"Manual",2850,430,6.2
"474",474,473,39,"V40 Cross Country","D3",1984,5,4,"BS IV",60,"Diesel",1458,4370,1783,5,13.05,16.8,1607,3,132,1552,1540,"150PS@3500rpm","350Nm@1500-2750rpm",5,"Automatic",2646,324,5.45
"475",475,474,39,"V40 Cross Country","T4",1596,4,4,"BS IV",50,"Petrol",1470,4370,1857,5,12,16,1587,3,132,1552,1540,"180PS@5700rpm","240Nm@1600-500rpm",5,"Automatic",2646,324,5.45
"476",476,475,29,"Cooper 3 Door","Cooper D",1496,3,4,"BS IV",44,"Diesel",1414,3821,1727,3,94.0801963534362,21.15,1245,3,179.415557830092,1520,1526.37732656514,"116PS@4000rpm","270Nm@1750-2250rpm",4,"Automatic",2631,211,13.1699326599327
"477",477,476,29,"Cooper 3 Door","Cooper S",1998,4,4,"BS IV",44,"Petrol",1414,3850,1727,3,94.0801963534362,15.75,1250,3,179.415557830092,1520,1526.37732656514,"192PS@5000-6000rpm","280NM@1250-4600rpm",5,"Automatic",2631,211,13.1699326599327
"478",478,477,NA,"Mercedes-Benz Gla-Class","200 Sport",1991,4,4,"BS IV",50,"Petrol",1494,4424,1804,5,10,13.8,1525,4,183,1569,1560,"183PS@5500rpm","300Nm@1200-1400rpm",5,"Automatic",2699,421,11.84
"479",479,478,NA,"Mercedes-Benz Gla-Class","200 D Style",2143,4,4,"BS IV",70,"Diesel",1494,4424,1804,5,13.4,17.9,1585,4,183,1569,1560,"136PS@4000rpm","300Nm@1600-3000rpm",5,"Automatic",2699,421,11.84
"480",480,479,NA,"Mercedes-Benz Gla-Class","200 D Sport",2143,4,4,"BS IV",70,"Diesel",1494,4424,1804,5,13.4,17.9,1585,4,183,1569,1560,"136PS@4000rpm","300Nm@1600-3000rpm",5,"Automatic",2699,421,11.84
"481",481,480,NA,"Mercedes-Benz Gla-Class","45 Amg 4Matic",1991,4,4,"BS IV",50,"Petrol",1479,4445,1804,5,10.2,13.8,1720,4,183,1569,1560,"360PS@6000rpm","450Nm@2250-5000rpm",5,"Automatic",2699,421,11.84
